"community","score","p","absscore","absp"
1,-0.160087467642157,0.126,0.19942789829338,0.015
2,-0.184352317546131,0.041,0.185559618970371,0.153
3,-0.200358251066955,0.013,0.208313419236488,0.749
4,0.143794413598022,0.823,0.169603144385759,0.077
5,-0.0429303748569713,0.337,0.0445483154273579,0.001
6,-0.151537607811183,0.123,0.157355880868803,0.033
7,-0.0332171698466189,0.436,0.157164254060287,0.038
8,0.0634096717508789,0.748,0.0949606397886792,0.103
9,0.595584555038643,1,0.657571542634476,1
10,-0.042168250724683,0.398,0.0518902315450053,0
11,-0.0741199892952364,0.265,0.0789859192527589,0.023
12,-0.047629015642542,0.324,0.113652064766055,0.15
13,-0.0336982071989571,0.418,0.0357722955398549,0
14,-0.00908875576676295,0.453,0.011798119330694,0.109
15,-0.0193918227862175,0.365,0.0199479890026342,0.131
16,0.00187347553218721,0.558,0.00803661707216483,0
17,-0.0188448091485112,0.344,0.0188448091485112,0.325
18,-0.013332336253375,0.386,0.0156290298124642,0.254
19,0.0156947203299236,0.586,0.0271953105922031,0
20,-0.0289578610710978,0.287,0.0289578610710978,0.366
21,0.225692921899531,0.994,0.227724661509803,0.992
22,-0.0236933977768483,0.34,0.0257144328070817,0.209
23,0.00899604348069116,0.545,0.0107890927010399,0
24,0.0223386402799154,0.833,0.0223386402799154,0.645
25,0.00602319252445599,0.646,0.00602319252445599,0.114
