Bucket label,m/z,Neutral Mass,Matched HMDB IDs,Matched HMDB names,Matched HMDB formulas,HMDB match count,Has Match?,THP1_1,THP1_2,THP1_3,THP1_4,THP1_5,THP1_6,THP1_7,Ecoli_1,Ecoli_2,Ecoli_3,Ecoli_4,Ecoli_5,Ecoli_6,Ecoli_7
100.38327854801108 Da,101.390555,100.38327854801108,,,,,False,,,,,5.422649200228303e-05,,,4.3941657150258565e-05,,,,,,
100.40746354801107 Da,101.41474,100.40746354801107,,,,,False,3.357181466167124e-05,3.302631281726054e-05,3.2070710041466754e-05,5.044885638896426e-05,4.440672166098673e-05,4.2335669803207887e-05,,5.825917368483155e-05,5.831211005072373e-05,5.551243781020706e-05,6.112812233218188e-05,5.2640656033124245e-05,5.648180213382307e-05,5.7281772394066996e-05
100.74207354801108 Da,101.74935,100.74207354801108,,,,,False,5.7179247389658654e-05,6.797778273022058e-05,6.437364468244439e-05,6.0496107980575366e-05,6.360479823283581e-05,7.205958674566972e-05,6.312701692138254e-05,3.456843251639115e-05,,,,,,
101.07748354801107 Da,102.08476,101.07748354801107,,,,,False,,,,,,,,2.7647420520997308e-05,3.036301105447708e-05,2.9109982937216282e-05,,,,
101.36639354801108 Da,102.37367,101.36639354801108,,,,,False,,3.008775445430594e-05,,,,,,2.9334941482504714e-05,,,,,,
101.37851354801107 Da,102.38579,101.37851354801107,,,,,False,,3.375521019224382e-05,,,,,,2.7862368067428117e-05,3.4941759995967055e-05,2.847863090227572e-05,2.9536566345284515e-05,,3.084191334628331e-05,
101.82841354801107 Da,102.83569,101.82841354801107,,,,,False,,3.125944829493992e-05,3.072484185926257e-05,,,,,3.2473981298416296e-05,3.057630242931049e-05,,3.293970933879017e-05,3.437182818065475e-05,3.283331035262702e-05,
102.03828354801107 Da,103.04556,102.03828354801107,,,,,False,5.1717112006718224e-05,5.617629636183864e-05,4.9882712560328275e-05,5.050959182872594e-05,4.864821279440924e-05,6.265283806073806e-05,4.543391855528285e-05,,,,,,,
102.05040854801106 Da,103.05768499999999,102.05040854801106,"['HMDB0031529', 'HMDB0038892', 'HMDB0039771', 'HMDB0040347']","['3-Methyl-2-butene-1-thiol', '1-(Methylthio)-1-butene', 'Cyclopentanethiol', '2-Methyl-1-propenethiol']","['C5H10S', 'C5H10S', 'C5H10S', 'C5H10S']",4,True,,,,,,,,2.647052456546232e-05,,,,,,3.1964280329727104e-05
102.57416354801107 Da,103.58144,102.57416354801107,,,,,False,6.0030125647109965e-05,7.69325392166437e-05,8.607666576411291e-05,,4.3683230013653925e-05,4.046248416737424e-05,,,,,,,,
102.58411854801108 Da,103.591395,102.58411854801108,,,,,False,,,,7.915442534324837e-05,,,,,,5.9420170404700486e-05,,,,
102.59403354801107 Da,103.60131,102.59403354801107,,,,,False,9.358382478268834e-05,,,,,,,,,,,,,7.334080969315684e-05
102.59409354801107 Da,103.60137,102.59409354801107,,,,,False,0.00016289111262557688,0.0005212734143073062,,,,,,,,,5.7592859087290564e-05,7.765722113095443e-05,0.00031433741731074074,
102.59906354801107 Da,103.60634,102.59906354801107,,,,,False,,,,,,,,4.730532047440899e-05,2.6763584188443508e-05,4.275413029740017e-05,,,,
102.60902354801107 Da,103.6163,102.60902354801107,,,,,False,,5.5167263405955734e-05,,,,,,,,,6.916299966360209e-05,9.004106294583907e-05,,5.566964425038143e-05
102.61405854801107 Da,103.621335,102.61405854801107,,,,,False,4.5971822057018795e-05,6.353469338272612e-05,,,,,5.8474078006733454e-05,9.814357131300936e-05,,,,,,
102.61994854801107 Da,103.627225,102.61994854801107,,,,,False,,,3.1258045935508724e-05,,,3.3176222046396436e-05,,,,,,,,
102.72231854801107 Da,103.729595,102.72231854801107,,,,,False,,3.234100461381897e-05,,,3.2639258122722324e-05,,,,,,,,,
103.05408854801107 Da,104.061365,103.05408854801107,,,,,False,3.145351517257474e-05,3.920108534064808e-05,,,,,,,,,,,,
103.25548354801107 Da,104.26276,103.25548354801107,,,,,False,5.108035360506132e-05,4.1667631219957426e-05,4.388337375241363e-05,,4.3758873322481304e-05,4.168957631271433e-05,3.813321121271891e-05,,,,,,,
103.36999354801107 Da,104.37727,103.36999354801107,,,,,False,,,,,,,,,2.6775581309371272e-05,,3.0408400086717205e-05,,,
103.38212354801107 Da,104.3894,103.38212354801107,,,,,False,5.200476034739172e-05,3.458533026622756e-05,,4.1542406611671873e-05,,3.362078905940741e-05,3.051141930534323e-05,3.096266250837449e-05,4.1602611350097064e-05,3.207368799062453e-05,3.057283312297361e-05,,3.097179966951566e-05,3.968494167696876e-05
103.40639354801107 Da,104.41367,103.40639354801107,,,,,False,3.5752371643541665e-05,,,,3.354073115540573e-05,3.101243800424204e-05,3.0178470954118353e-05,3.458097389178182e-05,2.6935902696994206e-05,2.885118327887481e-05,,,,
104.58688354801107 Da,105.59416,104.58688354801107,,,,,False,3.0195305286657233e-05,,3.3789142799688095e-05,4.2826680657588255e-05,,3.109298914789658e-05,,,,,,,,
104.60277354801107 Da,105.61005,104.60277354801107,,,,,False,3.0073786150385724e-05,3.441055084025045e-05,3.9136115423349534e-05,,,3.517444525085497e-05,3.079777013402977e-05,,,,,,,
105.09390354801107 Da,106.10118,105.09390354801107,,,,,False,,,,3.331531565696672e-05,,,,,2.8484693647492398e-05,,,,3.363355120048828e-05,
105.26848354801108 Da,106.27576,105.26848354801108,,,,,False,3.041479805629402e-05,3.697925884036071e-05,3.733262961260719e-05,3.492243881159216e-05,,,,,,,,,,
105.94997354801107 Da,106.95725,105.94997354801107,,,,,False,4.291652389660228e-05,3.5184446519476166e-05,3.93093445320412e-05,,,3.81659344025912e-05,3.891598288734305e-05,,,,,,,
105.96430354801107 Da,106.97158,105.96430354801107,['HMDB0303516'],['Sodium carbonate'],['CNa2O3'],1,True,,,,,,,2.9944292198212474e-05,,,,,3.001720747150607e-05,,
106.06783354801107 Da,107.07511,106.06783354801107,,,,,False,6.374741287730755e-05,5.971500434202236e-05,7.248969680777514e-05,6.293552618562165e-05,8.015262607618201e-05,6.005999285302894e-05,6.867893544263024e-05,,,,,,,
